file-format,png
File Name,Size (MB),Date Modified,File Format,File Path
monet-exhibition.jpeg,0.22,06-25-2023 16:29:03,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Original/monet-exhibition.jpeg
redwoods-in-california.jpeg,0.49,06-25-2023 00:00:04,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Original/redwoods-in-california.jpeg
background-twin-peaks.jpeg,0.11,06-25-2023 16:35:13,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Original/background-twin-peaks.jpeg
mount-kilimanjaro.jpeg,0.16,06-25-2023 21:16:27,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Original/mount-kilimanjaro.jpeg
the-vancouver-house-building.jpeg,0.26,06-25-2023 18:17:29,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Original/the-vancouver-house-building.jpeg
skiing-in-quebec.jpeg,0.39,06-24-2023 13:09:04,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Original/skiing-in-quebec.jpeg
fog-in-montreal.jpeg,0.39,06-25-2023 21:57:33,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Original/fog-in-montreal.jpeg
background-half-moon-bay.jpeg,0.3,06-25-2023 16:45:58,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Original/background-half-moon-bay.jpeg
8.jpg,7.54,07-03-2023 21:08:19,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Images/8.jpg
9.jpg,5.76,07-03-2023 21:08:11,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Images/9.jpg
4.jpg,1.48,07-03-2023 21:08:18,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Images/4.jpg
5.jpg,4.52,07-03-2023 21:08:06,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Images/5.jpg
7.jpg,4.31,07-03-2023 21:08:13,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Images/7.jpg
6.jpg,2.24,07-03-2023 21:08:14,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Images/6.jpg
2.jpg,2.65,07-03-2023 21:08:03,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Images/2.jpg
3.jpg,5.66,07-03-2023 21:08:16,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Images/3.jpg
1.jpg,6.44,07-03-2023 21:08:02,jpeg,/Users/besher/Downloads/Milestone 1 Tests/Images/1.jpg
Midterm Notes copy.pdf,0.05,11-06-2022 21:05:52,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Midterm Notes copy.pdf
Module 7 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf,0.48,11-13-2022 21:22:15,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Module 7 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf
Midterm Notes.pdf,0.05,11-06-2022 21:05:52,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Midterm Notes.pdf
CS271 Style Guide.pdf,0.26,11-06-2022 19:05:36,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/CS271 Style Guide.pdf
Module 1 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf,0.53,10-02-2022 16:36:52,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Module 1 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf
CS271 Instructions Reference.pdf,0.88,10-09-2022 21:58:24,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/CS271 Instructions Reference.pdf
Module 5 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022) 2.pdf,0.56,10-30-2022 18:12:42,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Module 5 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022) 2.pdf
Module 4 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf,0.34,10-23-2022 21:13:33,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Module 4 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf
Module 2 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf,0.58,10-09-2022 23:23:04,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Module 2 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf
CS271 Schedule.pdf,0.14,10-02-2022 00:44:55,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/CS271 Schedule.pdf
Module 6 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf,0.15,11-06-2022 00:05:48,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Module 6 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf
Flags.pdf,0.02,10-23-2022 18:28:27,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Flags.pdf
Module 3 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf,0.41,10-16-2022 22:36:36,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Module 3 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf
Screen Recording 2022-10-02 at 2.55.25 PM.mp4,9.65,10-02-2022 15:10:23,mp4,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Screen Recording 2022-10-02 at 2.55.25 PM.mp4
CS271 Irvine Procedure Reference.pdf,1.06,10-09-2022 23:16:15,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/CS271 Irvine Procedure Reference.pdf
MacroDemo.asm,0.0,12-04-2022 21:33:08,x-asm,/Users/besher/Downloads/Milestone 1 Tests/CS 271/MacroDemo.asm
StringManipulator.asm,0.0,12-04-2022 21:21:20,x-asm,/Users/besher/Downloads/Milestone 1 Tests/CS 271/StringManipulator.asm
Screen Shot 2022-10-09 at 10.43.31 PM.png,0.26,10-09-2022 22:43:34,png,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Screen Shot 2022-10-09 at 10.43.31 PM.png
Module 5 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf,0.51,10-30-2022 17:55:19,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Module 5 Summary Exercises COMPUTER ARCH & ASSEM LANGUAGE (CS_271_400_F2022).pdf
CS271 Syllabus.pdf,0.28,10-02-2022 01:05:55,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/CS271 Syllabus.pdf
Part 5.png,0.96,10-23-2022 19:30:37,png,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Project 2/Part 5.png
Part 4.png,1.0,10-23-2022 19:18:12,png,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Project 2/Part 4.png
Part 1.png,0.89,10-23-2022 18:30:38,png,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Project 2/Part 1.png
Part 2.png,1.12,10-23-2022 18:35:20,png,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Project 2/Part 2.png
Proj2_934409118.pdf,1.91,10-23-2022 19:39:20,pdf,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Project 2/Proj2_934409118.pdf
Part 3 Q 2.png,0.93,10-23-2022 18:54:16,png,/Users/besher/Downloads/Milestone 1 Tests/CS 271/Project 2/Part 3 Q 2.png
favicon-16x16.png,0.0,07-17-2023 06:53:40,png,/Users/besher/Downloads/Milestone 1 Tests/favicon_io/favicon-16x16.png
android-chrome-192x192.png,0.01,07-17-2023 06:53:40,png,/Users/besher/Downloads/Milestone 1 Tests/favicon_io/android-chrome-192x192.png
apple-touch-icon.png,0.01,07-17-2023 06:53:40,png,/Users/besher/Downloads/Milestone 1 Tests/favicon_io/apple-touch-icon.png
about.txt,0.0,07-17-2023 06:53:40,plain,/Users/besher/Downloads/Milestone 1 Tests/favicon_io/about.txt
